Target	Uniprot	GeneName	GeneID	Description
MDC	O00626	CCL22 MDC SCYA22 A-152E5.1	6367	C-C motif chemokine 22 (CC chemokine STCP-1) (MDC(1-69)) (Macrophage-derived chemokine) (Small-inducible cytokine A22) (Stimulated T-cell chemotactic protein 1) [Cleaved into: MDC(3-69); MDC(5-69); MDC(7-69)]
MIF	P14174	MIF GLIF MMIF	4282	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)
MIP-3a	P78556	CCL20 LARC MIP3A SCYA20	6364	C-C motif chemokine 20 (Beta-chemokine exodus-1) (CC chemokine LARC) (Liver and activation-regulated chemokine) (Macrophage inflammatory protein 3 alpha) (MIP-3-alpha) (Small-inducible cytokine A20) [Cleaved into: CCL20(1-67); CCL20(1-64); CCL20(2-70)]
MIP-3b	Q99731	CCL19 ELC MIP3B SCYA19	6363	C-C motif chemokine 19 (Beta-chemokine exodus-3) (CK beta-11) (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Macrophage inflammatory protein 3 beta) (MIP-3-beta) (Small-inducible cytokine A19)
MPIF-1	P55773	CCL23 MIP3 MPIF1 SCYA23	6368	Myeloid progenitor inhibitory factor (MPIF-1), also known as CK beta 8 and MIP-3. Alternative splicing of the MPIF-1 gene results in two mRNAs that encode a short (CK beta 8) and a long (CK beta 8-1) isoform of the chemokine. C-C motif chemokine 23 (CK-beta-8) (CKB-8) (Macrophage inflammatory protein 3) (MIP-3) (Myeloid progenitor inhibitory factor 1) (MPIF-1) (Small-inducible cytokine A23) [Cleaved into: CCL23(19-99); CCL23(22-99); CCL23(27-99); CCL23(30-99)]
MSP	P26927	MST1 D3F15S2 DNF15S2 HGFL	4485	Hepatocyte growth factor-like protein (Macrophage stimulatory protein) (Macrophage-stimulating protein) (MSP) [Cleaved into: Hepatocyte growth factor-like protein alpha chain; Hepatocyte growth factor-like protein beta chain]
NAP-2	P02775	PPBP CTAP3 CXCL7 SCYB7 TGB1 THBGB1	5473	Platelet basic protein (PBP) (C-X-C motif chemokine 7) (Leukocyte-derived growth factor) (LDGF) (Macrophage-derived growth factor) (MDGF) (Small-inducible cytokine B7) [Cleaved into: Connective tissue-activating peptide III (CTAP-III) (LA-PF4) (Low-affinity platelet factor IV); TC-2; Connective tissue-activating peptide III(1-81) (CTAP-III(1-81)); Beta-thromboglobulin (Beta-TG); Neutrophil-activating peptide 2(74) (NAP-2(74)); Neutrophil-activating peptide 2(73) (NAP-2(73)); Neutrophil-activating peptide 2 (NAP-2); TC-1; Neutrophil-activating peptide 2(1-66) (NAP-2(1-66)); Neutrophil-activating peptide 2(1-63) (NAP-2(1-63))]
OPN	P10451	SPP1 BNSP OPN PSEC0156	6696	Osteopontin (Bone sialoprotein 1) (Nephropontin) (Secreted phosphoprotein 1) (SPP-1) (Urinary stone protein) (Uropontin)
PARC	P55774	CCL18 AMAC1 DCCK1 MIP4 PARC SCYA18	6362	C-C motif chemokine 18 (Alternative macrophage activation-associated CC chemokine 1) (AMAC-1) (CC chemokine PARC) (Dendritic cell chemokine 1) (DC-CK1) (Macrophage inflammatory protein 4) (MIP-4) (Pulmonary and activation-regulated chemokine) (Small-inducible cytokine A18) [Cleaved into: CCL18(1-68); CCL18(3-69); CCL18(4-69)]
PF4	P02776	PF4 CXCL4 SCYB4	5196	Platelet factor 4 (PF-4) (C-X-C motif chemokine 4) (Iroplact) (Oncostatin-A) [Cleaved into: Platelet factor 4, short form]
SDF-1a	P48061	CXCL12 SDF1 SDF1A SDF1B	6387	Stromal cell-derived factor 1 (SDF-1) (hSDF-1) (C-X-C motif chemokine 12) (Intercrine reduced in hepatomas) (IRH) (hIRH) (Pre-B cell growth-stimulating factor) (PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67)]
TARC	Q92583	CCL17 SCYA17 TARC	6361	C-C motif chemokine 17 (CC chemokine TARC) (Small-inducible cytokine A17) (Thymus and activation-regulated chemokine)
TECK	O15444	CCL25 SCYA25 TECK	6370	C-C motif chemokine 25 (Chemokine TECK) (Small-inducible cytokine A25) (Thymus-expressed chemokine)
TSLP	Q969D9	TSLP	85480	Thymic stromal lymphopoietin
Activin A	P08476	INHBA	3624	Inhibin beta A chain (Activin beta-A chain) (Erythroid differentiation protein) (EDF)
AgRP	O00253	AGRP AGRT ART	181	Agouti-related protein
Angiogenin	P03950	ANG RNASE5	283	Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)
ANG-1	Q15389	ANGPT1 KIAA0003	284	Angiopoietin-1 (ANG-1)
Angiostatin	P00747	PLG	5340	Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]
Cathepsin S	P25774	CTSS	1520	Cathepsin S (EC 3.4.22.27)
CD40	P25942	CD40 TNFRSF5	958	Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40)
Cripto-1	P13385	TDGF1 CRIPTO	6997	Teratocarcinoma-derived growth factor 1 (Cripto-1 growth factor) (CRGF) (Epidermal growth factor-like cripto protein CR1)
DAN	O95453	PARN DAN	5073	Poly(A)-specific ribonuclease PARN (EC 3.1.13.4) (Deadenylating nuclease) (Deadenylation nuclease) (Polyadenylate-specific ribonuclease)
DKK-1	O94907	DKK1 UNQ492/PRO1008	22943	Dickkopf-related protein 1 (Dickkopf-1) (Dkk-1) (hDkk-1) (SK)
E-Cadherin	P12830	CDH1 CDHE UVO	999	Cadherin-1 (CAM 120/80) (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3]
EpCAM	P16422	EPCAM GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1	4072	Epithelial cell adhesion molecule (Ep-CAM) (Adenocarcinoma-associated antigen) (Cell surface glycoprotein Trop-1) (Epithelial cell surface antigen) (Epithelial glycoprotein) (EGP) (Epithelial glycoprotein 314) (EGP314) (hEGP314) (KS 1/4 antigen) (KSA) (Major gastrointestinal tumor-associated protein GA733-2) (Tumor-associated calcium signal transducer 1) (CD antigen CD326)
FAS L	P48023	FASLG APT1LG1 CD95L FASL TNFSF6	356	Tumor necrosis factor ligand superfamily member 6 (Apoptosis antigen ligand) (APTL) (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178) [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form (Receptor-binding FasL ectodomain) (Soluble Fas ligand) (sFasL); ADAM10-processed FasL form (APL); FasL intracellular domain (FasL ICD) (SPPL2A-processed FasL form) (SPA)]
Fcg RIIBC	P31994/P31995	FCGR2B	2213	Low affinity immunoglobulin gamma Fc region receptor II-b (IgG Fc receptor II-b) (CDw32) (Fc-gamma RII-b) (Fc-gamma-RIIb) (FcRII-b) (CD antigen CD32); Low affinity immunoglobulin gamma Fc region receptor II-c (IgG Fc receptor II-c) (CDw32) (Fc-gamma RII-c) (Fc-gamma-RIIc) (FcRII-c) (CD antigen CD32)
Fcg RIIBC	P31994/P31995	FCGR2B	9103	Low affinity immunoglobulin gamma Fc region receptor II-b (IgG Fc receptor II-b) (CDw32) (Fc-gamma RII-b) (Fc-gamma-RIIb) (FcRII-b) (CD antigen CD32); Low affinity immunoglobulin gamma Fc region receptor II-c (IgG Fc receptor II-c) (CDw32) (Fc-gamma RII-c) (Fc-gamma-RIIc) (FcRII-c) (CD antigen CD32)
Follistatin	P19883	FST	10468	Follistatin (FS) (Activin-binding protein)
Galectin-7	P47929	LGALS7 PIG1; LGALS7B	3963;653499	Galectin-7 (Gal-7) (HKL-14) (PI7) (p53-induced gene 1 protein)
ICAM-2	P13598	ICAM2	3384	Intercellular adhesion molecule 2 (ICAM-2) (CD antigen CD102)
IL-13 R1	P78552	IL13RA1 IL13R IL13RA	3597	Interleukin-13 receptor subunit alpha-1 (IL-13 receptor subunit alpha-1) (IL-13R subunit alpha-1) (IL-13R-alpha-1) (IL-13RA1) (Cancer/testis antigen 19) (CT19) (CD antigen CD213a1)
IL-13 R2	Q14627	IL13RA2 IL13R	3598	Interleukin-13 receptor subunit alpha-2 (IL-13 receptor subunit alpha-2) (IL-13R subunit alpha-2) (IL-13R-alpha-2) (IL-13RA2) (Interleukin-13-binding protein) (CD antigen CD213a2)
IL-17B	Q9UHF5	IL17B IL20 NIRF ZCYTO7 UNQ516/PRO1031	27190	Interleukin-17B (IL-17B) (Cytokine Zcyto7) (Interleukin-20) (IL-20) (Neuronal interleukin-17-related factor)
IL-2 Ra	P01589	IL2RA	3559	Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (TAC antigen) (p55) (CD antigen CD25)
IL-2 Rb	P14784	IL2RB	3560	Interleukin-2 receptor subunit beta (IL-2 receptor subunit beta) (IL-2R subunit beta) (IL-2RB) (High affinity IL-2 receptor subunit beta) (p70-75) (p75) (CD antigen CD122)
IL-23	Q9NPF7	IL23A SGRF UNQ2498/PRO5798	51561	Interleukin-23 subunit alpha (IL-23 subunit alpha) (IL-23-A) (Interleukin-23 subunit p19) (IL-23p19)
LAP(TGFb1)	P01137.2	TGFB1	7040	Human TGF-beta 1 cDNA encodes a 390 amino acid (aa) precursor that contains a 29 aa signal peptide and a 361 aa proprotein, which is further cleaved to an N-terminal 249 aa latency-associated peptide (LAP) and a C-terminal 112 aa mature TGF-beta-1. 
NrCAM	Q92823	NRCAM KIAA0343	4897	Neuronal cell adhesion molecule (Nr-CAM) (Neuronal surface protein Bravo) (hBravo) (NgCAM-related cell adhesion molecule) (Ng-CAM-related)
PAI-1	P05121	SERPINE1 PAI1 PLANH1	5054	Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1)
PDGF-AB	P04085/P01127	PDGFA/PDGFB	5154	Platelet-derived growth factor subunit A (PDGF subunit A) (PDGF-1) (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide); Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin)
PDGF-AB	P04085/P01127	PDGFA/PDGFB	5155	Platelet-derived growth factor subunit A (PDGF subunit A) (PDGF-1) (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide); Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin)
Resistin	Q9HD89	RETN FIZZ3 HXCP1 RSTN UNQ407/PRO1199	56729	Resistin (Adipose tissue-specific secretory factor) (ADSF) (C/EBP-epsilon-regulated myeloid-specific secreted cysteine-rich protein) (Cysteine-rich secreted protein A12-alpha-like 2) (Cysteine-rich secreted protein FIZZ3)
SDF-1b	P48061	CXCL12 SDF1 SDF1A SDF1B	6387	Stromal cell-derived factor 1 (SDF-1) (hSDF-1) (C-X-C motif chemokine 12) (Intercrine reduced in hepatomas) (IRH) (hIRH) (Pre-B cell growth-stimulating factor) (PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67)]; SDF-1 alpha and SDF-1 beta are encoded by a single gene and arise by alternative splicing. The two proteins are identical except for the four amino acid residues that are present in the carboxy-terminus of SDF-1 beta and absent from SDF-1 alpha.
gp130	P40189	IL6ST	3572	Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (CDw130) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130)
Shh-N	Q15465	SHH	6469	Sonic hedgehog protein (SHH) (HHG-1) [Cleaved into: Sonic hedgehog protein N-product; Sonic hedgehog protein C-product]
Siglec-5	O15389	SIGLEC5 CD33L2 OBBP2	8778	Sialic acid-binding Ig-like lectin 5 (Siglec-5) (CD33 antigen-like 2) (Obesity-binding protein 2) (OB-BP2) (OB-binding protein 2) (CD antigen CD170)
IL-1 R4	Q01638	IL1RL1 DER4 ST2 T1	9173	Interleukin-1 receptor-like 1 (Protein ST2)
TGFb2	P61812	TGFB2	7042	Transforming growth factor beta-2 (TGF-beta-2) (BSC-1 cell growth inhibitor) (Cetermin) (Glioblastoma-derived T-cell suppressor factor) (G-TSF) (Polyergin) [Cleaved into: Latency-associated peptide (LAP)]
Tie-2	Q02763	TEK TIE2 VMCM VMCM1	7010	Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b)
TPO	P40225	THPO MGDF	7066	Thrombopoietin (C-mpl ligand) (ML) (Megakaryocyte colony-stimulating factor) (Megakaryocyte growth and development factor) (MGDF) (Myeloproliferative leukemia virus oncogene ligand)
TRAIL R4	Q9UBN6	TNFRSF10D DCR2 TRAILR4 TRUNDD UNQ251/PRO288	8793	Tumor necrosis factor receptor superfamily member 10D (Decoy receptor 2) (DcR2) (TNF-related apoptosis-inducing ligand receptor 4) (TRAIL receptor 4) (TRAIL-R4) (TRAIL receptor with a truncated death domain) (CD antigen CD264)
TREM-1	Q9NP99	TREM1	54210	Triggering receptor expressed on myeloid cells 1 (TREM-1) (Triggering receptor expressed on monocytes 1) (CD antigen CD354)
VEGF-C	P49767	VEGFC	7424	Vascular endothelial growth factor C (VEGF-C) (Flt4 ligand) (Flt4-L) (Vascular endothelial growth factor-related protein) (VRP)
VEGF R1	P17948	FLT1 FLT FRT VEGFR1	2321	Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor)
Adiponectin	Q15848	ADIPOQ ACDC ACRP30 APM1 GBP28	9370	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)
Adipsin	P00746	CFD DF PFD	1675	Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D)
AFP	P02771	AFP HPAFP	174	Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)
ANGPTL4	Q9BY76	ANGPTL4 ARP4 HFARP PGAR PP1158 PSEC0166 UNQ171/PRO197	51129	Angiopoietin-related protein 4 (Angiopoietin-like protein 4) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP)
B2M	P61769	B2M CDABP0092 HDCMA22P	567	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]
BCAM	P50895	BCAM LU MSK19	4059	Basal cell adhesion molecule (Auberger B antigen) (B-CAM cell surface glycoprotein) (F8/G253 antigen) (Lutheran antigen) (Lutheran blood group glycoprotein) (CD antigen CD239)
CA125	Q8WXI7	MUC16 CA125	94025	Mucin-16 (MUC-16) (Ovarian cancer-related tumor marker CA125) (CA-125) (Ovarian carcinoma antigen CA125)
CA15-3	P15941	MUC1 PUM	4582	Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)]
CEA	P06731	CEACAM5 CEA	1048	Carcinoembryonic antigen (CEA). In humans, the carcinoembryonic antigen family consists of 29 genes, 18 of which are normally expressed.
CRP	P02741	CRP PTX1	1401	C-reactive protein [Cleaved into: C-reactive protein(1-205)]
ErbB2	P04626	ERBB2 HER2 MLN19 NEU NGL	2064	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)
Ferritin	P02794	FTH1 FTH FTHL6 OK/SW-cl.84 PIG15	2495	Ferritin heavy chain (Ferritin H subunit) (EC 1.16.3.1) (Cell proliferation-inducing gene 15 protein) [Cleaved into: Ferritin heavy chain, N-terminally processed]
FSH	P01215/P01225	CGA/FSHB	1081	Glycoprotein hormones alpha chain (Anterior pituitary glycoprotein hormones common subunit alpha) (Choriogonadotropin alpha chain) (Chorionic gonadotrophin subunit alpha) (CG-alpha) (Follicle-stimulating hormone alpha chain) (FSH-alpha) (Follitropin alpha chain) (Luteinizing hormone alpha chain) (LSH-alpha) (Lutropin alpha chain) (Thyroid-stimulating hormone alpha chain) (TSH-alpha) (Thyrotropin alpha chain); Follitropin subunit beta (Follicle-stimulating hormone beta subunit) (FSH-B) (FSH-beta) (Follitropin beta chain)
FSH	P01215/P01225	CGA/FSHB	2488	Glycoprotein hormones alpha chain (Anterior pituitary glycoprotein hormones common subunit alpha) (Choriogonadotropin alpha chain) (Chorionic gonadotrophin subunit alpha) (CG-alpha) (Follicle-stimulating hormone alpha chain) (FSH-alpha) (Follitropin alpha chain) (Luteinizing hormone alpha chain) (LSH-alpha) (Lutropin alpha chain) (Thyroid-stimulating hormone alpha chain) (TSH-alpha) (Thyrotropin alpha chain); Follitropin subunit beta (Follicle-stimulating hormone beta subunit) (FSH-B) (FSH-beta) (Follitropin beta chain)
GROa	P09341	CXCL1 GRO GRO1 GROA MGSA SCYB1	2919	Growth-regulated alpha protein (C-X-C motif chemokine 1) (GRO-alpha(1-73)) (Melanoma growth stimulatory activity) (MGSA) (Neutrophil-activating protein 3) (NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73)]
hCGb	P0DN86/P0DN87	CGB3/CGB7	1082	Choriogonadotropin subunit beta 3 (Choriogonadotropin subunit beta) (CG-beta) (Chorionic gonadotropin chain beta); Choriogonadotropin subunit beta 7
hCGb	P0DN86/P0DN87	CGB3/CGB7	93659	Choriogonadotropin subunit beta 3 (Choriogonadotropin subunit beta) (CG-beta) (Chorionic gonadotropin chain beta); Choriogonadotropin subunit beta 7
hCGb	P0DN86/P0DN87	CGB3/CGB7	94115	Choriogonadotropin subunit beta 3 (Choriogonadotropin subunit beta) (CG-beta) (Chorionic gonadotropin chain beta); Choriogonadotropin subunit beta 7
hCGb	P0DN86/P0DN87	CGB3/CGB7	94027	Choriogonadotropin subunit beta 3 (Choriogonadotropin subunit beta) (CG-beta) (Chorionic gonadotropin chain beta); Choriogonadotropin subunit beta 7
IGF-1R	P08069	IGF1R	3480	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]
